title,bag_of_words
"Mosquito Coast, The (1986)",adventure drama thriller nan  
"Golden Child, The (1986)",action adventure comedy fantasy mystery nan  
Brighton Beach Memoirs (1986),comedy nan  
Assassination (1987),action drama thriller nan  
Crimes of the Heart (1986),comedy drama nan  
"Color Purple, The (1985)",drama nan  
"Kindred, The (1986)",horror sci-fi nan  
No Mercy (1986),action crime thriller nan  
Ménage (Tenue de soirée) (1986),comedy drama nan  
Native Son (1986),drama nan  
Otello (1986),drama nan  
"Mission, The (1986)",drama nan  
Little Shop of Horrors (1986),comedy horror musical nan  
"Little Shop of Horrors, The (1960)",comedy horror nan  
Allan Quatermain and the Lost City of Gold (1987),action adventure comedy nan  
"Morning After, The (1986)",drama mystery nan  
Radio Days (1987),comedy drama nan  
From the Hip (1987),comedy drama nan  
Outrageous Fortune (1987),comedy mystery nan  
"Bedroom Window, The (1987)",thriller nan  
Deadtime Stories (1987),horror nan  
Light of Day (1987),drama nan  
Wanted: Dead or Alive (1987),action nan  
Frances (1982),drama nan  
Plenty (1985),drama nan  
Dick (1999),comedy richard nixon teenage girl witness political satire  
"Gambler, The (Játékos, A) (1997)",drama writer stenographer roulette older man younger woman relationship  
"Iron Giant, The (1999)",adventure animation children drama sci-fi cult film robot government agent friend  
"Sixth Sense, The (1999)",drama horror mystery surprise ending single mother able to see the dead plot twist  
"Thomas Crown Affair, The (1999)",action mystery sex in bed sexual desire female rear nudity female frontal nudity  
"Thomas Crown Affair, The (1968)",crime drama romance thriller nan  
"Acid House, The (1998)",comedy drama independent film omnibus omnibus film male rear nudity  
"Adventures of Sebastian Cole, The (1998)",comedy drama year 1983 blood name in title male name in title  
Illuminata (1998),comedy female nudity topless female nudity sex scene playwright  
Stiff Upper Lips (1998),comedy maiden aunt england edwardian era 1900s  
"Yards, The (2000)",crime drama female nudity best friend friend corruption  
Bowfinger (1999),comedy guerrilla filmmaking film within a film satire scientology parody  
Brokedown Palace (1999),drama f rated frame up bangkok thailand teenage girl  
Detroit Rock City (1999),comedy reference to the incredible hulk kiss band concert  
Alice and Martin (Alice et Martin) (1998),drama character names as title forenames as title three word title gay  
Better Than Chocolate (1999),comedy romance sex sex change sex toy black panties  
Head On (1998),drama male frontal nudity f rated violence penis  
"Marcello Mastroianni: I Remember Yes, I Remember (Marcello Mastroianni: mi ricordo, sì, io mi ricordo) (1997)",documentary actor f rated film clip reminiscence  
Cobra (1925),drama nan  
Never Talk to Strangers (1995),crime drama romance thriller woman in jeopardy anonymous telephone call love sex in bed  
Heaven Can Wait (1978),comedy nan  
"Raven, The (1963)",comedy horror nan  
"Tingler, The (1959)",horror nan  
Pit and the Pendulum (1961),horror nan  
"Tomb of Ligeia, The (1965)",horror nan  
"Masque of the Red Death, The (1964)",horror nan  
Tales of Terror (1962),horror nan  
Haunted Honeymoon (1986),comedy nan  
Cat's Eye (1985),horror nan  
Monty Python's And Now for Something Completely Different (1971),comedy nan  
Damien: Omen II (1978),horror nan  
"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",horror thriller nan  
Airplane! (1980),comedy nan  
Airplane II: The Sequel (1982),comedy nan  
"American Werewolf in Paris, An (1997)",comedy horror romance thriller werewolf full moon breasts female werewolf  
European Vacation (aka National Lampoon's European Vacation) (1985),adventure comedy romance nan  
National Lampoon's Vacation (1983),comedy nan  
Funny Farm (1988),comedy nan  
Big (1988),comedy drama fantasy romance nan  
Problem Child (1990),children comedy boy slapstick comedy mischief naughty child  
Problem Child 2 (1991),comedy three word title restaurant scene during opening credits puppet show  
Little Nemo: Adventures in Slumberland (1992),adventure animation children drama fantasy king smoke cult favorite cult film  
Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),drama romance glass church australia wager  
Tequila Sunrise (1988),action drama romance thriller nan  
"Pelican Brief, The (1993)",crime drama mystery romance thriller aerial camera shot murderess swiss bank account college lecture  
"Christmas Story, A (1983)",children comedy nan  
Mickey Blue Eyes (1999),comedy romance mafia character name as title nickname as title auctioneer  
Teaching Mrs. Tingle (1999),comedy thriller irony of fate irony evil woman arrow  
Universal Soldier: The Return (1999),action sci-fi time bomb computer combat general  
Universal Soldier (1992),action sci-fi soldier reporter flashback vietnam  
Love Stinks (1999),comedy wedding ring wedding dress reference to elvis presley reverse cowgirl sex position  
Perfect Blue (1997),animation horror mystery thriller stalking actress obsessed fan ambiguity  
With Friends Like These... (1998),comedy actor gangster  
In Too Deep (1999),action thriller hood undercover police cunnilingus  
"Source, The (1999)",documentary kerouac writer public television poet  
"Bat, The (1959)",horror nan  
Iron Eagle (1986),action war nan  
Iron Eagle II (1988),action war nan  
Aces: Iron Eagle III (1992),action aircraft warplane propeller aircraft aeroplane  
Iron Eagle IV (1995),action war training flight school toxic waste inhaler  
Three Days of the Condor (3 Days of the Condor) (1975),drama mystery romance thriller nan  
Hamlet (1964),drama nan  
Male and Female (1919),adventure drama nan  
Medicine Man (1992),adventure romance stethoscope exam gas chromatograph jungle cancer  
"Spiders Part 1: The Golden Lake, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",action adventure drama nan  
On the Ropes (1999),documentary drama title fight fight title directed by female teenager  
Rosie (1998),drama character name as title one word title bus secret  
"13th Warrior, The (1999)",action adventure fantasy viking arab warrior combat  
"Astronaut's Wife, The (1999)",horror sci-fi thriller astronaut mission electrocuted in bathtub sister  
Dudley Do-Right (1999),children comedy royal canadian mounted police gold rush canada chainsaw  
"Muse, The (1999)",comedy screenwriter muse directed by star satire  
Cabaret Balkan (Bure Baruta) (1998),drama serbia bus passenger hoodlum bus  
A Dog of Flanders (1999),children drama human dog relationship boy and his dog girl and her dog owner dog relationship  
"Lost Son, The (1999)",drama private investigator pedophilia boy sexual abuse  
Lucie Aubrac (1997),romance war resistance lyon gestapo female nudity  
"Very Thought of You, The (1998)",comedy romance character names in title six word title friend friendship  
Chill Factor (1999),action adventure comedy thriller terrorist terrorism ice military  
Outside Providence (1999),comedy pot cannabis quaaludes pesticide  
Bedrooms & Hallways (1998),comedy romance watching television pubic hair gay men's group  
I Woke Up Early the Day I Died (1998),comedy crime thriller claim in title first person title camera shot of eyes close up of eyes  
West Beirut (West Beyrouth) (1998),drama reference to muhammad school super 8 white flag  
Stigmata (1999),drama thriller cartoon on tv priest stigmata wound  
Stir of Echoes (1999),horror mystery thriller seeing a ghost missing person psychic power haunted house  
Best Laid Plans (1999),crime drama nutshell internal revenue service killing an animal loss of pet  
"Black Cat, White Cat (Crna macka, beli macor) (1998)",comedy romance neo screwball comedy four word title deal marriage  
"Minus Man, The (1999)",drama mystery murder seaside postal clerk post office  
Whiteboyz (1999),comedy drama hip hop iowa slang one word title  
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",adventure children comedy drama nan  
Only Angels Have Wings (1939),adventure drama romance nan  
"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",drama nan  
Queens Logic (1991),comedy drama friendship ensemble cast philanderer homosexual  
Public Access (1993),drama thriller cult film gun tv cable  
Saturn 3 (1980),adventure sci-fi thriller nan  
"Soldier's Story, A (1984)",drama nan  
"Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976)",horror mystery nan  
Don't Look in the Basement! (1973),horror nan  
Nightmares (1983),horror nan  
I Saw What You Did (1965),thriller nan  
Yellow Submarine (1968),adventure animation comedy fantasy musical nan  
American Beauty (1999),drama romance adulterous wife cheating wife midlife crisis unfaithful wife  
Stop Making Sense (1984),documentary musical nan  
Blue Streak (1999),comedy buddy 1930s to 2020s diamond jewel  
For Love of the Game (1999),comedy drama throwing a ball pantyhose new york city autograph  
Caligula (1979),drama nan  
"Hard Day's Night, A (1964)",adventure comedy musical nan  
Splendor (1999),comedy new queer cinema hot sexy one female two males threesome  
Sugar Town (1999),comedy pregnant character played by pregnant actress music producer drugs f rated  
"Buddy Holly Story, The (1978)",drama nan  
Fright Night (1985),comedy horror thriller nan  
Fright Night Part II (1988),horror nan  
"Separation, The (Séparation, La) (1994)",drama adultery unfaithful wife cuckold  
Barefoot in the Park (1967),comedy nan  
Deliverance (1972),adventure drama thriller nan  
Excalibur (1981),adventure fantasy nan  
Lulu on the Bridge (1998),drama mystery romance slip the undergarment pie in the face television commercial watching tv  
"Pajama Game, The (1957)",comedy musical romance nan  
Sommersby (1993),drama mystery romance impostor husband wife relationship assumed identity death by hanging  
Thumbelina (1994),animation children fantasy based on fairy tale mouse bird paris france  
Tommy (1975),musical nan  
Hell Night (1981),horror nan  
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),action adventure comedy nan  
Armour of God (Long xiong hu di) (1987),action adventure comedy nan  
Double Jeopardy (1999),action crime drama thriller wrongful arrest wrongful conviction blood sex scene  
Jakob the Liar (1999),drama based on novel character name as title three word title jacob the liar character  
Mumford (1999),comedy drama psychologist secret small town investigation  
Dog Park (1998),comedy romance watching tv children's television show host children's television show sex comedy  
Guinevere (1999),drama romance cake pantyhose police officer coffeeshop  
"Adventures of Elmo in Grouchland, The (1999)",children comedy no opening credits blanket rescue sesame street  
Simon Sez (1999),action comedy kidnapping quicksand arms dealer church  
Drive Me Crazy (1999),comedy romance opposites attract teenage protagonist rival rivalry  
"Mystery, Alaska (1999)",comedy drama male nudity small town alaska sex  
Three Kings (1999),action adventure comedy drama war original story heist sex on a chair woman on top  
"Happy, Texas (1999)",comedy gay beauty pageant escaped convict texas  
New Rose Hotel (1998),action drama black bra and panties female nudity nudity woman on top  
Plunkett & MaCleane (1999),action adventure drama 18th century social satire robber character names as title  
Romance (1999),drama romance vulva bondage female full frontal nudity penetration  
Napoleon and Samantha (1972),adventure drama nan  
Alvarez Kelly (1966),western nan  
And the Ship Sails On (E la nave va) (1983),comedy war nan  
"Dark Half, The (1993)",horror mystery based on the works of stephen king three word title family relationships husband wife relationship  
Gulliver's Travels (1939),adventure animation children nan  
Monkey Shines (1988),horror sci-fi nan  
Phantasm (1979),horror sci-fi nan  
Psycho II (1983),horror mystery thriller nan  
Psycho III (1986),horror thriller nan  
Rain (1932),drama nan  
Sanjuro (Tsubaki Sanjûrô) (1962),action adventure drama nan  
Random Hearts (1999),drama romance politician police sergeant investigation u.s. congresswoman  
Superstar (1999),comedy pink bra and panties high school blue panties mini skirt  
Boys Don't Cry (1999),drama transgender prejudice sexual assault sex  
"Five Wives, Three Secretaries and Me (1998)",documentary f rated title directed by female houston texas father dislikes daughter's boyfriend  
"Ennui, L' (1998)",drama romance sex scene rough sex pubic hair unsimulated sex  
"Grandfather, The (Abuelo, El) (1998)",drama suicidal thoughts infidelity grandchild daughter in law  
"Limey, The (1999)",crime drama thriller revenge watching television englishman prison  
The Mating Habits of the Earthbound Human (1999),comedy sci-fi hot sex scene sexy voice over  
Molly (1999),comedy drama baseball game public nudity advertising executive autism  
Risky Business (1983),comedy nan  
Total Recall (1990),action adventure sci-fi thriller implanted memory false memory space colony ambiguous ending  
Body Heat (1981),crime thriller nan  
Ferris Bueller's Day Off (1986),comedy nan  
"Year of Living Dangerously, The (1982)",drama romance war nan  
Children of Paradise (Les enfants du paradis) (1945),drama romance nan  
High Plains Drifter (1973),western nan  
Hang 'Em High (1968),crime drama western nan  
Handle with Care (a.k.a. Citizen's Band) (1977),comedy nan  
Drunken Master (Jui kuen) (1978),action comedy nan  
"Conformist, The (Conformista, Il) (1970)",drama nan  
Hairspray (1988),comedy drama nan  
Brief Encounter (1946),drama romance nan  
"Razor's Edge, The (1984)",drama nan  
Reds (1981),drama romance nan  
Return with Honor (1998),documentary pow vietnam f rated vietnam war  
Time of the Gypsies (Dom za vesanje) (1989),comedy crime drama fantasy nan  
Days of Heaven (1978),drama nan  
"Fire Within, The (Feu follet, Le) (1963)",drama nan  
"Amor brujo, El (Love Bewitched, A) (1986)",drama musical nan  
"Lady Eve, The (1941)",comedy romance nan  
Sullivan's Travels (1941),adventure comedy romance nan  
"Palm Beach Story, The (1942)",comedy nan  
Man Facing Southeast (1986),drama sci-fi nan  
Niagara (1953),drama thriller nan  
Gilda (1946),drama film-noir mystery romance nan  
South Pacific (1958),musical romance war nan  
Flashdance (1983),drama romance nan  
Indochine (1992),drama romance f rated french naval officer french navy year 1930  
"Dirty Dozen, The (1967)",action drama war nan  
Mike's Murder (1984),mystery nan  
Help! (1965),comedy musical nan  
Goldfinger (1964),action adventure thriller nan  
From Russia with Love (1963),action adventure thriller nan  
Dr. No (1962),action adventure thriller nan  
"Blue Lagoon, The (1980)",adventure drama romance nan  
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",action western nan  
Sydney (Hard Eight) (1996),crime drama thriller character name as title forename as title one word title down on one's luck  
Home Alone 2: Lost in New York (1992),children comedy reference to donald trump credit card 1990s repeat sequel  
Penitentiary (1979),drama nan  
Penitentiary II (1982),drama nan  
Someone to Watch Over Me (1987),action crime thriller nan  
Sparrows (1926),drama nan  
Naturally Native (1998),drama cosmetics native american f rated native american protagonist  
Fight Club (1999),action crime drama thriller surprise ending fighting anti establishment multiple personality disorder  
Beefcake (1999),drama 1950s amg athletic model guild posing pouch  
"Story of Us, The (1999)",comedy drama husband wife relationship marriage summer camp male rear nudity  
Fever Pitch (1997),comedy romance arsenal teacher fan screenplay adapted by author  
Joe the King (1999),crime drama corporal punishment stealing police breaking and entering  
Julien Donkey-Boy (1999),drama character name as title julien donkey boy character three word title window blinds  
"Omega Code, The (1999)",action psychotronic film christian propaganda code torah  
"Straight Story, The (1999)",adventure drama lawn mower elderly protagonist road trip lead actor's last film  
"Bad Seed, The (1956)",drama thriller nan  
Time Bandits (1981),adventure comedy fantasy sci-fi nan  
"Man and a Woman, A (Un homme et une femme) (1966)",drama romance nan  
Fitzcarraldo (1982),adventure drama nan  
All That Jazz (1979),drama fantasy musical nan  
Red Sorghum (Hong gao liang) (1987),drama war nan  
Crimes and Misdemeanors (1989),comedy crime drama nan  
Bats (1999),horror thriller mad scientist texas small town sheriff  
"Best Man, The (1999)",comedy drama sex scene african american family relationships stripper  
Bringing Out the Dead (1999),drama post punk ghost paramedic ambulance  
Crazy in Alabama (1999),comedy drama murder police lie social injustice  
Three to Tango (1999),comedy romance pretending to be gay three word title architect misunderstanding  
Body Shots (1999),drama blow job sex in bed panties pulled down lust  
Men Cry Bullets (1997),comedy drama transvestite male frontal nudity f rated pubic hair  
"Brother, Can You Spare a Dime? (1975)",documentary nan  
"Guardian, The (1990)",horror thriller nan  
"Ipcress File, The (1965)",thriller nan  
On Any Sunday (1971),documentary nan  
RoboCop (1987),action crime drama sci-fi thriller nan  
RoboCop 2 (1990),action crime sci-fi thriller video arcade throwing food child swearing goth  
Who Framed Roger Rabbit? (1988),adventure animation children comedy crime fantasy mystery nan  
Melvin and Howard (1980),drama nan  
For Your Eyes Only (1981),action adventure thriller nan  
Licence to Kill (1989),action adventure thriller nan  
Live and Let Die (1973),action adventure thriller nan  
Rawhead Rex (1986),horror thriller nan  
Thunderball (1965),action adventure thriller nan  
"City, The (Ciudad, La) (1998)",drama urban legend immigrant hispanic mexican immigrant  
House on Haunted Hill (1999),horror thriller haunted hospital characters killed one by one haunted house strapped to a bed  
Music of the Heart (1999),drama violin teacher school female protagonist  
Being John Malkovich (1999),comedy drama fantasy puppeteer portal body swap body switching  
Dreaming of Joseph Lees (1999),drama romance male female relationship unrequited love sister sister relationship lust  
Man of the Century (1999),comedy typewriter telegram newspaper reference to eliot spitzer  
Princess Mononoke (Mononoke-hime) (1997),action adventure animation drama fantasy forest anime human animal relationship curse  
"Suburbans, The (1999)",drama sexy woman band sex addict pop band  
My Best Fiend (Mein liebster Feind) (1999),documentary stress choleric person poison dwarf reference to klaus kinski  
Train of Life (Train de vie) (1998),comedy drama romance war freight train tragicomedy farce fable  
"Bachelor, The (1999)",comedy romance inheritance challenge race against time death of grandfather greed  
"Bone Collector, The (1999)",thriller criminal investigation usa united states quadriplegic  
"Insider, The (1999)",drama thriller whistleblower tortuous interference 1990s tobacco  
American Movie (1999),documentary cringe comedy gambling friend cult film  
Last Night (1998),drama sci-fi watching television 360 degree well camera shot midnight turn of the century  
Portraits Chinois (1996),drama nan  
Rosetta (1999),drama teenage girl selfishness fishing attempted suicide  
"They Shoot Horses, Don't They? (1969)",drama nan  
Battling Butler (1926),comedy nan  
Bride of Re-Animator (1990),comedy horror nan  
Bustin' Loose (1981),comedy nan  
Coma (1978),thriller nan  
Creepshow (1982),horror nan  
Creepshow 2 (1987),horror nan  
Re-Animator (1985),comedy horror sci-fi nan  
Drugstore Cowboy (1989),crime drama nan  
Falling Down (1993),action drama rage urban decay dysfunctional family destroying property  
"Funhouse, The (1981)",horror nan  
"General, The (1926)",comedy war nan  
My Best Girl (1927),comedy romance nan  
Piranha (1978),horror sci-fi nan  
Rough Night in Jericho (1967),western nan  
Slaughterhouse (1987),comedy horror nan  
"Taming of the Shrew, The (1967)",comedy nan  
Nighthawks (1981),action drama nan  
Yojimbo (1961),action adventure nan  
Repossessed (1990),comedy exorcism slapstick comedy exorcist demonic possession  
"Omega Man, The (1971)",action drama sci-fi thriller nan  
Spaceballs (1987),comedy sci-fi nan  
Robin Hood (1973),adventure animation children comedy musical nan  
Mister Roberts (1955),comedy drama war nan  
"Quest for Fire (Guerre du feu, La) (1981)",adventure drama nan  
Little Big Man (1970),western nan  
"Face in the Crowd, A (1957)",drama nan  
Trading Places (1983),comedy nan  
Meatballs (1979),comedy nan  
Meatballs Part II (1984),comedy nan  
Meatballs III (1987),comedy nan  
Meatballs 4 (1992),comedy breaking the fourth wall rivalry romantic rivalry grandfather granddaughter relationship  
Dead Again (1991),mystery romance thriller hypnosis private eye amnesia scissors  
Peter's Friends (1992),comedy drama wine weight obsession sorrow show business  
"Incredibly True Adventure of Two Girls in Love, The (1995)",comedy romance interracial lesbian sex caught having lesbian sex title directed by female lesbian  
Experience Preferred... But Not Essential (1982),drama nan  
Under the Rainbow (1981),comedy nan  
How I Won the War (1967),comedy war nan  
Light It Up (1999),drama police die hard scenario hostage negotiator police brutality  
Anywhere But Here (1999),comedy drama hollywood california teenager teenage girl female protagonist  
Dogma (1999),adventure comedy fantasy silent bob character jay character angel clinic  
"Messenger: The Story of Joan of Arc, The (1999)",drama war religious conviction dauphin trial joan of arc  
Pokémon: The First Movie (1998),adventure animation children fantasy sci-fi clone pokemon scientist battle  
Felicia's Journey (1999),thriller caterer catering lawn mower friend  
Oxygen (1999),crime drama thriller tape over mouth ransom pole the person ransom demand  
Where's Marlowe? (1998),comedy water supply private investigator dog water  
"Ape, The (1940)",horror sci-fi nan  
British Intelligence (1940),drama nan  
"Commitments, The (1991)",comedy drama musical soul music reference to wilson pickett working class ireland  
Holiday Inn (1942),comedy musical nan  
"Longest Day, The (1962)",action drama war nan  
Poison Ivy (1992),drama thriller erotic thriller female bonding teenage girl seduction  
Poison Ivy: New Seduction (1997),drama thriller female removes her dress nude swimming sex on the floor female rear nudity  
Nothing to Lose (a.k.a. Ten Benny) (1996),drama male objectification male nudity male rear nudity barefoot male  
Tora! Tora! Tora! (1970),action drama war nan  
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),comedy drama nan  
"Verdict, The (1982)",drama mystery nan  
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",drama nan  
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",adventure comedy sci-fi nan  
Stand and Deliver (1988),comedy drama nan  
Moonstruck (1987),comedy romance nan  
"Sandpiper, The (1965)",drama romance nan  
Jeremiah Johnson (1972),western nan  
Repulsion (1965),drama horror nan  
Irma la Douce (1963),comedy nan  
42 Up (1998),documentary twin towers london england lifespan lifespan development  
Liberty Heights (1999),drama smashed pumpkin school high school party  
Mansfield Park (1999),comedy drama romance releasing dove caught having sex year 1806 lesbian subtext  
"Goodbye, 20th Century (1998)",drama sci-fi slasher splatter religious horror female full frontal nudity  
Sleepy Hollow (1999),fantasy horror mystery romance murder headless horseman investigation sword  
"World Is Not Enough, The (1999)",action adventure thriller female stockinged legs black pantyhose pantyhose miss moneypenny character  
All About My Mother (Todo sobre mi madre) (1999),drama actress writer single mother sex talk  
Home Page (1999),documentary internet  
"Living Dead Girl, The (Morte Vivante, La) (1982)",horror nan  
Babes in Toyland (1934),children comedy fantasy musical nan  
Scrooged (1988),comedy fantasy romance nan  
Harvey (1950),comedy fantasy nan  
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),drama nan  
Matewan (1987),drama nan  
Kagemusha (1980),drama war nan  
"47 Samurai (Chûshingura) (Loyal 47 Ronin, The) (1962)",drama nan  
McCabe & Mrs. Miller (1971),drama western nan  
Maurice (1987),drama romance nan  
"Grapes of Wrath, The (1940)",drama nan  
My Man Godfrey (1957),comedy nan  
"Shop Around the Corner, The (1940)",comedy drama romance nan  
"Natural, The (1984)",drama nan  
Shampoo (1975),comedy drama romance nan  
"River Runs Through It, A (1992)",drama fishing river teenager self discovery  
Fatal Attraction (1987),drama thriller nan  
Jagged Edge (1985),crime romance thriller nan  
Stanley & Iris (1990),drama romance car automobile character names as title forenames as title  
Midnight Run (1988),action comedy crime thriller nan  
Awakenings (1990),drama mystery nan  
Come See the Paradise (1990),drama romance nan  
Backdraft (1991),action drama firefighter fireman fire arson  
"Fisher King, The (1991)",comedy drama fantasy romance holy grail redemption post traumatic stress disorder video store clerk  
"River, The (1984)",drama nan  
Country (1984),drama nan  
Places in the Heart (1984),drama nan  
'night Mother (1986),drama nan  
End of Days (1999),action fantasy horror mystery thriller female nudity lucifer female masturbation new york city  
Toy Story 2 (1999),adventure animation children comedy fantasy toy cgi animation toy comes to life 1990s  
Flawless (1999),drama homosexual gay interest gay lead character gay republican  
Miss Julie (1999),drama attempted suicide character name as title miss juiie character two word title  
Ride with the Devil (1999),drama romance war missouri raider william quantrill laundry drying on a clothesline friend  
Tumbleweeds (1999),drama mother daughter relationship f rated fight boss  
Bay of Blood (a.k.a. Twitch of the Death Nerve) (Reazione a catena) (1971),horror nan  
"Distinguished Gentleman, The (1992)",comedy congressman lobbyist political humor political comedy  
"Hitch-Hiker, The (1953)",drama film-noir nan  
Santa Fe Trail (1940),drama romance western nan  
Lauderdale (a.k.a. Spring Break USA) (a.k.a. Spring Fever USA) (1989),comedy nan  
Agnes Browne (1999),comedy drama character name as title two word title reference to tom jones money  
"End of the Affair, The (1999)",drama sex scene writer obsessive love extramarital affair  
"End of the Affair, The (1955)",drama nan  
Holy Smoke (1999),comedy drama sex scene lesbian lesbian kiss man wears a dress  
"Map of the World, A (1999)",drama full frontal female nudity sigourney's beaver watching tv male nudity  
Sweet and Lowdown (1999),comedy drama counterfeiting jazz train rat  
Bonfire of the Vanities (1990),comedy crime drama nan  
Broadway Damage (1997),comedy apartment obituary gay friend  
Daddy Long Legs (1919),comedy drama nan  
Go West (1925),comedy western nan  
Grand Illusion (La grande illusion) (1937),drama war nan  
"Great Santini, The (1979)",drama nan  
"James Dean Story, The (1957)",documentary nan  
"Sea Wolves, The (1980)",action war nan  
Stealing Home (1988),drama nan  
Tarzan the Fearless (1933),action adventure nan  
Three Ages (1923),comedy nan  
"Two Jakes, The (1990)",drama year 1948 1940s sex scene overhearing sex  
U2: Rattle and Hum (1988),documentary musical nan  
Hell in the Pacific (1968),drama war nan  
"Glass Bottom Boat, The (1966)",comedy romance nan  
Cradle Will Rock (1999),drama reference to franklin d. roosevelt frida kahlo character diego rivera character bertolt brecht character  
Deuce Bigalow: Male Gigolo (1999),comedy male objectification bikini red dress girl in panties  
"Green Mile, The (1999)",crime drama death row inmate evil evil man good versus evil  
"Cider House Rules, The (1999)",drama premarital sex woman dies from abortion abortion jim crow  
Diamonds (1999),mystery grandfather grandson relationship virgin bare chested male diamond  
"War Zone, The (1999)",drama thriller father daughter incest nude photograph male full frontal nudity male pubic hair  
"Bat Whispers, The (1930)",crime drama mystery nan  
"Last Picture Show, The (1971)",drama nan  
"7th Voyage of Sinbad, The (1958)",action adventure fantasy nan  
Blood on the Sun (1945),drama war nan  
Anna and the King (1999),drama romance kingdom of siam king siam 1860s  
Bicentennial Man (1999),drama romance sci-fi robot breaking a figurine goofball slapstick  
Stuart Little (1999),children comedy fantasy alley cat cat actor boat boy  
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",drama political plot cruelty loyalty spy  
Fantasia 2000 (1999),animation children musical imax donald duck character mickey mouse character altered version of studio logo 2d animation  
Magnolia (1999),drama coincidence multiple storyline surprise ending cancer  
Onegin (1999),drama romance friend period film uncle nephew relationship torment  
Simpatico (1999),comedy drama kentucky blackmail scam woman smoker  
Topsy-Turvy (1999),comedy drama musical gilbert and sullivan creative differences light opera savoy theatre london  
"Alley Cats, The (1966)",drama nan  
Boiling Point (1993),action drama police officer revenge undercover old flame  
Brenda Starr (1989),adventure nan  
Carnal Knowledge (1971),comedy drama nan  
Easy Rider (1969),adventure drama nan  
The Falcon and the Snowman (1985),crime drama thriller nan  
Hi-Yo Silver (1940),western nan  
Room at the Top (1959),drama nan  
Ulysses (Ulisse) (1954),adventure nan  
Any Given Sunday (1999),drama nudity black penis male objectification male in underwear  
Man on the Moon (1999),comedy drama comedian eccentric wrestler female frontal nudity  
Galaxy Quest (1999),adventure comedy sci-fi sexy woman shapeshifting cult film male alien  
"Talented Mr. Ripley, The (1999)",drama mystery thriller nudity italy sociopath male frontal nudity  
Next Friday (2000),comedy suburb profanity marijuana joint porn magazine  
"Hurricane, The (1999)",drama toronto ontario historical revisionism reference to fyodor dostoyevsky reference to w.e. b. dubois  
Angela's Ashes (1999),drama irish limerick based on autobiography 1930s  
Play it to the Bone (1999),comedy drama bare chested male friendship highway travel boxing movie  
Titus (1999),drama title directed by female year 400 bow the weapon housefly  
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",documentary death in title execution auschwitz revisionist  
"Third Miracle, The (1999)",drama priest bishop beatification crisis of faith  
Montana (1998),action comedy crime drama boss murder cancer female protagonist  
Snow Falling on Cedars (1999),drama injustice japanese fictional island fisherman  
"Girl, Interrupted (1999)",drama mental hospital mental institution based on true story female protagonist  
Trans (1998),drama burglary colorado florida fort myers florida  
"Life and Times of Hank Greenberg, The (1998)",documentary baseball 1930s jewish community baseball movie  
My Dog Skip (1999),children drama mississippi dog 1940s war veteran  
Supernova (2000),adventure sci-fi thriller female masculine short hair woman with masculine short hair masculine woman horny woman  
"Quarry, The (1998)",drama police suspicion quarry prejudice  
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",drama terrorist assassination suicide bomber suicide mission  
Creature (1999),documentary gay interest transsexual  
"Way We Were, The (1973)",drama romance nan  
Tess of the Storm Country (1922),drama nan  
Stalag 17 (1953),drama war nan  
"Presidio, The (1988)",action crime romance thriller nan  
Papillon (1973),crime drama nan  
Pal Joey (1957),comedy drama musical romance nan  
"Last Detail, The (1973)",comedy drama nan  
Five Easy Pieces (1970),drama nan  
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),drama horror nan  
Dead Calm (1989),thriller nan  
"Boys from Brazil, The (1978)",action mystery thriller nan  
Black Sunday (La maschera del demonio) (1960),horror nan  
Against All Odds (1984),romance nan  
"Snows of Kilimanjaro, The (1952)",adventure nan  
Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),action comedy scotty character ariel character time bomb pantyhosed leg  
"Loves of Carmen, The (1948)",drama nan  
Fast Times at Ridgemont High (1982),comedy drama romance nan  
"Cry in the Dark, A (1988)",drama nan  
Born to Win (1971),drama nan  
Batman: Mask of the Phantasm (1993),animation children batman character bruce wayne character dc comics neo noir  
American Flyers (1985),drama nan  
Voyage of the Damned (1976),drama nan  
"Vampyros Lesbos (Vampiras, Las) (1971)",fantasy horror thriller nan  
"Star Is Born, A (1937)",drama nan  
Poison (1991),drama experimental film cult film avant garde anthology  
