title,year,rating
"Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu)",2010,2.5
Disaster Movie,2008,1.8333333333333333
Disclosure,1994,3.0
Disco Pigs,2001,4.0
Disconnect,2012,3.1666666666666665
Disgrace,2008,5.0
"Dish, The",2001,3.75
Distant (Uzak),2002,3.0
"Distinguished Gentleman, The",1992,2.625
District 13 (Banlieue 13),2004,2.7
District 13: Ultimatum (Banlieue 13 - Ultimatum),2009,2.75
District 9,2009,2.75
Disturbia,2007,3.3333333333333335
Disturbing Behavior,1998,2.0
Divergent,2014,3.0625
"Divide, The",2011,2.5
Divine Intervention (Yadon ilaheyya),2002,3.25
Divine Secrets of the Ya-Ya Sisterhood,2002,3.5
"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le)",2007,3.75
"Divo, Il",2008,4.0
"Divorce, Le",2003,3.1666666666666665
Diên Biên Phú,1992,0.5
Django Unchained,2012,3.125
Dobermann,1997,4.0
Doc Hollywood,1991,2.625
Doc of the Dead,2014,3.0
Doctor Strange,2007,0.5
Doctor Who,1996,2.75
"Doctor, The",1991,3.75
Dodgeball: A True Underdog Story,2004,2.75
Dog Pound,2010,4.0
"Dog Problem, The",2006,3.5
Dog Soldiers,2002,2.8333333333333335
Dog Tags,2008,3.0
Dogfight,1991,3.5
Doghouse,2009,3.0
Dogma,1999,2.75
Dogtooth (Kynodontas),2009,3.0
Dogtown and Z-Boyz,2001,4.0
Dogville,2003,3.0
Dolls,2002,3.625
Dolores Claiborne,1995,3.2857142857142856
Dolphin Tale,2011,4.0
Dom Hemingway,2014,2.0
Domestic Disturbance,2001,1.625
Dominion: Prequel to the Exorcist,2005,2.75
Domino,2005,2.4285714285714284
Don,2006,3.0
Don Jon,2013,2.9285714285714284
Don Juan DeMarco,1995,3.0
Don McKay,2009,3.5
Don Verdean,2015,2.0
Don't Be Afraid of the Dark,2010,3.25
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,2.5625
Don't Come Knocking,2005,2.5
Don't Drink the Water,1994,3.5
Don't Say a Word,2001,3.0
Don't Tell Mom the Babysitter's Dead,1991,3.357142857142857
Don't Tempt Me (Sin noticias de Dios),2001,2.5
Donald Glover: Weirdo,2011,3.0
Donkey Punch,2008,4.0
Donkey Xote,2007,3.5
Donner Pass,2012,2.0
Donnie Brasco,1997,3.5
Donnie Darko,2001,2.75
Doom,2005,2.25
"Doom Generation, The",1995,3.3333333333333335
Doomsday,2008,3.6
"Door in the Floor, The",2004,4.0
"Doors, The",1991,3.1875
Dope,2015,3.125
Doppelganger,1993,1.75
Doppelganger (Dopperugengâ),2003,4.0
Dorian Gray,2009,3.25
Dorm Daze (National Lampoon Presents Dorm Daze),2003,1.5
Double Dragon,1994,1.5
Double Happiness,1994,2.875
Double Impact,1991,2.357142857142857
Double Jeopardy,1999,3.1875
"Double Life of Veronique, The (Double Vie de Véronique, La)",1991,2.9375
Double Take,2001,2.3333333333333335
Double Team,1997,3.0
Double Whammy,2001,2.0
"Double, The",2011,3.375
"Double, The",2013,3.2
Doubt,2008,3.125
Doug's 1st Movie,1999,1.5
Down From the Mountain,2000,3.5
Down Periscope,1996,3.0
Down in the Delta,1998,3.5
Down in the Valley,2005,2.5
Down to Earth,2001,3.125
Down to You,2000,2.6666666666666665
Down with Love,2003,2.6875
"Downfall (Untergang, Der)",2004,3.1875
Dr. Dolittle,1998,2.75
Dr. Dolittle 2,2001,2.75
Dr. Horrible's Sing-Along Blog,2008,3.357142857142857
Dr. Jekyll and Ms. Hyde,1995,0.5
Dr. Seuss' The Lorax,2012,2.75
Dr. T and the Women,2000,2.25
Dracula (Bram Stoker's Dracula),1992,2.75
Dracula (Dracula 3D),2012,2.0
Dracula 2000,2000,2.75
Dracula Untold,2014,3.0714285714285716
Dracula: Dead and Loving It,1995,2.6666666666666665
Dracula: Pages from a Virgin's Diary,2001,0.5
Draft Day,2014,4.0
Drag Me to Hell,2009,3.0
Dragon Ball Z: Battle of Gods,2013,2.0
Dragon Hunters (Chasseurs de dragons),2008,1.8333333333333333
Dragon: The Bruce Lee Story,1993,3.6
Dragonball Evolution,2009,1.1666666666666667
Dragonfly,2002,2.8
Dragonheart,1996,2.888888888888889
Drained (O cheiro do Ralo),2006,3.5
Drama/Mex,2006,1.5
Dream (Bi-mong),2008,4.0
Dream House,2011,1.5
Dream Lover,1993,2.0
Dream Man,1995,3.0
Dream With the Fishes,1997,1.5
Dream for an Insomniac,1996,2.8333333333333335
"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El)",1992,3.25
Dreamcatcher,2003,2.75
Dreamer: Inspired by a True Story,2005,3.5
"Dreamers, The",2003,3.4285714285714284
Dreamgirls,2006,2.6666666666666665
Dreamland,2006,3.0
"Dreamlife of Angels, The (Vie rêvée des anges, La)",1998,3.6
Dreams of  a Life,2011,3.5
Dredd,2012,3.75
Drifting Clouds (Kauas pilvet karkaavat),1996,4.5
Drillbit Taylor,2008,2.3333333333333335
Drinking Buddies,2013,3.25
Drishyam,2013,4.0
Drive,2011,3.125
Drive Angry,2011,2.5
Drive Me Crazy,1999,2.5
Driven,2001,2.4375
Driving Lessons,2006,4.0
Drop Dead Fred,1991,2.8125
Drop Dead Gorgeous,1999,3.6666666666666665
Drop Zone,1994,3.0833333333333335
Drowning Mona,2000,3.2142857142857144
Drug War (Du zhan),2012,2.0
Drumline,2002,3.1
Drunks,1995,2.5
Dry Cleaning (Nettoyage à sec),1997,5.0
"Duchess, The",2008,3.4
"Dude, Where's My Car?",2000,2.5555555555555554
Dudley Do-Right,1999,2.0
Due Date,2010,2.8125
Duets,2000,2.375
"Dukes of Hazzard, The",2005,2.75
Duma,2005,4.0
Dumb & Dumber (Dumb and Dumber),1994,2.75
Dumb and Dumber To,2014,2.75
Dumb and Dumberer: When Harry Met Lloyd,2003,2.0
Dummy,2002,2.875
Dumplings (Gaau ji),2004,2.25
Dungeons & Dragons,2000,2.5555555555555554
Dunston Checks In,1996,2.1666666666666665
Duplex,2003,2.7
Duplicity,2009,3.5
"Dust of Time, The",2008,3.5
Dutch,1991,3.0
Dying Young,1991,2.5
Déjà Vu,1997,4.0
Déjà Vu (Deja Vu),2006,3.125
EDtv,1999,2.888888888888889
Eagle Eye,2008,3.0714285714285716
Eagle vs Shark,2007,3.0
"Eagle, The",2011,2.75
Earth,2007,4.25
Earth,1998,3.5
Earthsea (Legend of Earthsea),2004,2.5
East is East,1999,3.875
"East, The",2013,3.75
East-West (Est-ouest),1999,4.0
Eastern Promises,2007,3.75
Easy A,2010,3.125
"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood",2003,3.5
Easy Virtue,2008,3.5
Eat Drink Man Woman (Yin shi nan nu),1994,3.2142857142857144
Eat Pray Love,2010,3.1875
Echelon Conspiracy,2009,3.0
Ed,1996,3.6
Ed Wood,1994,3.1875
Ed's Next Move,1996,3.5
Eddie,1996,3.0
Eddie Izzard: Dress to Kill,1999,4.5
Eden,2012,3.5
Eden Lake,2008,3.3333333333333335
Eden of the East the Movie II: Paradise Lost (Higashi no Eden Gekijôban II: Paradise Lost),2010,5.0
Edge of Darkness,2010,2.9285714285714284
"Edge of Heaven, The (Auf der anderen Seite)",2007,4.25
"Edge of Love, The",2008,5.0
Edge of Seventeen,1998,4.5
Edge of Tomorrow,2014,3.125
"Edge, The",1997,2.8125
Edmond,2005,2.75
"Education of Charlie Banks, The",2007,3.0
"Education, An",2009,3.2857142857142856
"Edukators, The (Die Fetten Jahre sind vorbei)",2004,3.5
"Eel, The (Unagi)",1997,3.5
Eight Below,2006,2.7
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights),2002,1.7
Eight Days a Week,1997,2.0
Eight Legged Freaks,2002,2.6666666666666665
"Eighth Day, The (Huitième jour, Le)",1996,3.875
Elaine Stritch: Shoot Me,2013,3.5
Election,1999,2.888888888888889
Election (Hak se wui),2005,3.5
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,3.5
Electrick Children,2012,2.5
Electroma,2006,3.5
Elegy,2008,3.5
Elektra,2005,2.5
Elektra Luxx,2010,2.5
"Elementary Particles, The (Elementarteilchen)",2006,3.0
Elena,2011,3.25
Elena Undone,2010,3.0
Elephant,2003,3.0714285714285716
Elf,2003,3.0
Elite Squad (Tropa de Elite),2007,3.5
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro),2010,3.2857142857142856
Elizabeth,1998,3.5
Elizabeth: The Golden Age,2007,3.25
Elizabethtown,2005,3.3333333333333335
Ella Enchanted,2004,3.0
Elles,2011,2.0
Ellie Parker,2005,1.5
Elling,2001,3.6666666666666665
Elysium,2013,3.125
"Embalmer, The (Imbalsamatore, L')",2002,4.5
Emma,1996,3.1875
Emperor,2012,3.5
"Emperor and the Assassin, The (Jing ke ci qin wang)",1999,5.0
"Emperor's New Clothes, The",2001,3.1666666666666665
"Emperor's New Groove, The",2000,2.75
Empire,2002,2.5
Empire Records,1995,3.1875
Employee of the Month,2006,2.25
Employee of the Month,2004,2.75
Enchanted,2007,3.0
Enchanted April,1992,3.7
Encino Man,1992,2.611111111111111
Encounters at the End of the World,2008,3.6666666666666665
End of Days,1999,2.75
"End of Poverty, The",2008,4.0
"End of Violence, The",1997,2.5
End of Watch,2012,3.25
"End of the Affair, The",1999,4.0
End of the Century: The Story of the Ramones,2003,3.75
End of the Spear,2005,3.5
Ender's Game,2013,3.0
Endless Love,2014,3.75
"Endless Summer 2, The",1994,3.5
Endurance,1999,1.0
"Endurance: Shackleton's Legendary Antarctic Expedition, The",2000,4.0
Enduring Love,2004,3.5
Enemy,2013,2.9375
Enemy at the Gates,2001,3.357142857142857
Enemy of the State,1998,2.75
"Enfer, L'",1994,3.0
"English Patient, The",1996,2.75
"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,2.75
Enigma,2001,3.5
"Ennui, L'",1998,2.5
Enough,2002,1.8
Enough Said,2013,3.3333333333333335
Enron: The Smartest Guys in the Room,2005,3.6666666666666665
Enter Nowhere,2011,3.75
Enter the Void,2009,3.4166666666666665
Entrapment,1999,2.75
Envy,2004,3.2
Epic,2013,3.1
Epic Movie,2007,1.375
"Equalizer, The",2014,3.0
Equilibrium,2002,2.75
Eragon,2006,2.625
"Erased (Expatriate, The)",2012,3.0
Eraser,1996,2.75
Erin Brockovich,2000,2.75
Ernest Scared Stupid,1991,2.375
Escaflowne: The Movie (Escaflowne),2000,3.25
Escanaba in da Moonlight,2001,2.5
Escape Plan,2013,3.25
Escape from L.A.,1996,2.75
Escape from Planet Earth,2013,3.25
"Escapist, The",2008,3.5
Escobar: Paradise Lost,2014,3.5
Essential Killing,2010,4.5
Eternal Sunshine of the Spotless Mind,2004,2.75
Eternity and a Day (Mia aoniotita kai mia mera),1998,3.0
Eulogy,2004,3.75
Eureka (Yurîka),2000,4.0
EuroTrip,2004,2.75
Europa (Zentropa),1991,4.75
Europa Report,2013,3.25
Eva,2011,4.5
Evan Almighty,2007,2.5714285714285716
Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo),2007,4.0
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha),2009,3.375
Eve of Destruction,1991,2.5
Eve's Bayou,1997,3.5
Evelyn,2002,3.25
Even Cowgirls Get the Blues,1993,2.5
Even Money,2006,2.0
Evening,2007,4.0
"Evening Star, The",1996,2.375
Event Horizon,1997,2.75
Ever After: A Cinderella Story,1998,2.888888888888889
Everest,1998,3.5
Every Little Step,2008,4.0
Everybody Dies But Me,2008,2.5
Everybody's Famous! (Iedereen beroemd!),2000,3.75
Everyone Says I Love You,1996,3.0833333333333335
Everyone's Hero,2006,2.5
Everything Is Illuminated,2005,3.5
Everything Must Go,2010,3.375
Evil (Ondskan),2003,3.6666666666666665
Evil Dead,2013,3.25
Evita,1996,2.888888888888889
Evolution,2001,3.0
"Ex, The",2007,2.5
Exam,2009,3.8
Examined Life,2008,4.5
Excess Baggage,1997,2.5
Excision,2012,3.3333333333333335
Executive Decision,1996,2.8125
Exhibition,2013,4.5
Exit Through the Gift Shop,2010,3.0625
Exit Wounds,2001,2.5
Exit to Eden,1994,2.7142857142857144
Exodus: Gods and Kings,2014,4.5
"Exorcism of Emily Rose, The",2005,3.1
Exorcismus,2010,3.5
Exorcist: The Beginning,2004,1.8333333333333333
Exotica,1994,3.0625
Expelled,2014,5.0
Expelled: No Intelligence Allowed,2008,1.8333333333333333
"Expendables 2, The",2012,3.2857142857142856
"Expendables, The",2010,2.75
"Experiment, The",2010,3.5
Experimenter,2015,3.3333333333333335
"Express, The",2008,3.6666666666666665
Extract,2009,2.75
Extracted,2012,3.0
"Extraordinary Adventures of Adèle Blanc-Sec, The",2010,2.5
Extraordinary Measures,2010,3.5
Extreme Measures,1996,3.5
Extreme Movie,2008,2.5
Extreme Ops,2002,0.5
Extremely Loud and Incredibly Close,2011,3.75
Eye See You (D-Tox),2002,3.0
Eye for an Eye,1996,3.0
Eye of the Beholder,1999,2.5
"Eye, The",2008,3.0
"Eye, The (Gin gwai) (Jian gui)",2002,3.5
Eyes Wide Shut,1999,2.75
"Eyes of Tammy Faye, The",2000,4.0
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion),1991,2.5
Face/Off,1997,2.75
Faces of Death 5,1996,2.75
"Facing Windows (Finestra di fronte, La)",2003,3.0
"Factory, The",2012,3.5
Factotum,2005,3.3333333333333335
"Faculty, The",1998,3.0
Fading Gigolo,2013,2.5
Fahrenheit 9/11,2004,2.75
Fail Safe,2000,3.0
Failure to Launch,2006,2.6666666666666665
Fair Game,1995,2.6666666666666665
Fair Game,2010,3.0714285714285716
FairyTale: A True Story,1997,3.5
Faithful,1996,2.6666666666666665
Fall,1997,2.5
Fall From Grace,2007,4.5
Fall Time,1995,1.5
"Fall, The",2006,3.5
Fallen,1998,3.1875
Fallen Angels (Duo luo tian shi),1995,3.6
Falling Down,1993,3.1875
Fame,2009,4.5
Family Band: The Cowsills Story (2011) ,2011,4.0
"Family Friend, The (L'amico di famiglia)",2006,3.5
"Family Man, The",2000,2.888888888888889
"Family Stone, The",2005,3.0833333333333335
"Family Thing, A",1996,3.5
"Family Tree, The",2011,1.5
"Family, The",2013,2.75
"Fan, The",1996,3.25
Fanboys,2009,2.6666666666666665
Fantasia 2000,1999,2.75
"Fantastic Fear of Everything, A",2012,4.0
Fantastic Four,2005,2.5
Fantastic Four: Rise of the Silver Surfer,2007,2.25
Fantastic Mr. Fox,2009,2.9375
Far Cry,2008,1.0
Far From Home: The Adventures of Yellow Dog,1995,3.875
"Far Off Place, A",1993,3.5
Far and Away,1992,3.1875
Far from Heaven,2002,3.4285714285714284
"Faraway, So Close (In weiter Ferne, so nah!)",1993,3.0
Farewell (L'affaire Farewell),2009,3.0
Farewell My Concubine (Ba wang bie ji),1993,3.2142857142857144
Fargo,1996,2.888888888888889
Farinelli: il castrato,1994,4.0
Farscape: The Peacekeeper Wars,2004,4.166666666666667
"Fast & Furious (Fast and the Furious 4, The)",2009,3.1875
"Fast & Furious 6 (Fast and the Furious 6, The)",2013,2.75
"Fast Five (Fast and the Furious 5, The)",2011,3.5
Fast Food Nation,2006,2.6
"Fast Runner, The (Atanarjuat)",2001,3.1666666666666665
"Fast and the Furious, The",2001,2.75
"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The)",2006,2.9444444444444446
"Fast, Cheap & Out of Control",1997,4.125
Faster,2010,2.75
Fat Albert,2004,2.7
Fat Girl (À ma soeur!),2001,3.8333333333333335
Fat Head,2009,4.5
Fatal Instinct,1993,3.0
Fateless (Sorstalanság),2005,3.5
Father Hood,1993,0.5
Father of Invention,2010,3.5
Father of the Bride,1991,2.9285714285714284
Father of the Bride Part II,1995,2.75
Fathers' Day,1997,2.9166666666666665
Fay Grim,2006,2.5
Fear,1996,3.1875
Fear City: A Family-Style Comedy (La cité de la peur),1994,2.0
Fear Clinic,2014,0.5
Fear X,2003,4.5
Fear and Loathing in Las Vegas,1998,2.75
Fear and Trembling (Stupeur et tremblements),2003,3.5
Fear of a Black Hat,1994,3.3
"Fear, The",1995,2.0
FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com),2002,2.0
Fear[s] of the Dark (Peur[s] du noir),2007,4.25
Fearless,1993,3.75
Feast,2005,2.6666666666666665
Feast III: The Happy Finish,2009,2.5
Feast of Love,2007,3.0
Feeling Minnesota,1996,2.9166666666666665
Felicia's Journey,1999,4.0
Felon,2008,3.5833333333333335
Female Agents (Les femmes de l'ombre),2008,1.5
Female Perversions,1996,3.5
Femme Fatale,2002,3.357142857142857
"Femme Nikita, La (Nikita)",1990,3.5
Fermat's Room (La habitación de Fermat),2007,3.0
Ferngully: The Last Rainforest,1992,2.75
Festival Express,2003,3.25
Fever Pitch,1997,3.25
Fever Pitch,2005,2.9285714285714284
"Few Best Men, A",2011,5.0
"Few Good Men, A",1992,2.9444444444444446
Fidel,2001,0.5
Fido,2006,3.5
"Field in England, A",2013,3.25
Fierce Creatures,1997,3.5
"Fifth Element, The",1997,2.75
"Fifth Estate, The",2013,2.5
Fifty Dead Men Walking,2008,4.5
Fifty Shades of Grey,2015,2.5
Fight Club,1999,2.75
"Fighter, The",2010,3.2142857142857144
Fighting,2009,2.75
"Fighting Temptations, The",2003,2.5
Fill the Void (Lemale et ha'halal),2012,3.5
Filth,2013,3.75
"Filth and the Fury, The",2000,3.5
Final Analysis,1992,2.0
"Final Cut, The",2004,4.0
Final Destination,2000,2.75
Final Destination 2,2003,2.75
Final Destination 3,2006,2.8
Final Destination 5,2011,2.625
"Final Destination, The (Final Destination 4) (Final Destination in 3-D, The)",2009,2.5833333333333335
Final Fantasy VII: Advent Children,2004,3.5
Final Fantasy: The Spirits Within,2001,2.75
Find Me Guilty,2006,2.75
Finding Forrester,2000,3.25
Finding Nemo,2003,2.75
Finding Neverland,2004,2.9444444444444446
Finding North,1998,2.0
Finding Vivian Maier,2013,4.166666666666667
Fire Down Below,1997,3.0
Fire and Ice,2008,2.0
Fire in the Sky,1993,3.1666666666666665
Fired Up,2009,3.5
Fireflies in the Garden,2008,4.0
Firelight,1997,1.0
Fireproof,2008,4.333333333333333
Firestorm,1998,2.0
Firewall,2006,3.0
Fireworks (Hana-bi),1997,3.5
"Firm, The",1993,2.75
First Daughter,2004,1.5
First Kid,1996,2.7142857142857144
First Knight,1995,2.75
First Squad: The Moment of Truth,2009,3.0
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo),1996,3.0
First Sunday,2008,0.5
"First Time, The",2012,3.5
"First Wives Club, The",1996,2.7857142857142856
Fish Story (Fisshu sutôrî),2009,1.5
Fish Tank,2009,4.166666666666667
"Fisher King, The",1991,3.1875
Fist of Legend (Jing wu ying xiong),1994,3.3333333333333335
"Fitzgerald Family Christmas, The",2012,5.0
"Five Heartbeats, The",1991,4.25
"Five Obstructions, The (Fem benspænd, De)",2003,4.0
"Five People You Meet in Heaven, The",2004,0.5
"Five Senses, The",1999,3.0
"Five-Year Engagement, The",2012,0.5
Flags of Our Fathers,2006,3.75
Flame and Citron (Flammen & Citronen),2008,3.1666666666666665
Flash of Genius,2008,3.5
Flawless,2007,3.3
Flawless,1999,3.1
Fled,1996,2.5
Flesh and Bone,1993,3.0
Flicka,2006,3.25
Flickering Lights (Blinkende lygter),2000,4.25
Flight,2012,3.75
Flight of the Phoenix,2004,2.75
Flightplan,2005,2.5
"Flintstones in Viva Rock Vegas, The",2000,2.4166666666666665
"Flintstones, The",1994,2.75
Flipped,2010,3.75
Flipper,1996,3.0
Flirt,1995,4.0
Flirting,1991,3.6
Flirting With Disaster,1996,3.1875
Floating Skyscrapers,2014,4.0
"Flower of My Secret, The (La flor de mi secreto)",1995,4.125
"Flowers of War, The (Jin líng shí san chai)",2011,3.75
Flubber,1997,2.75
"Fluffer, The",2001,2.5
Fluke,1995,2.5
Flushed Away,2006,2.75
Fly Away Home,1996,3.0
Fly Me to the Moon,2008,0.5
Flyboys,2006,3.1
Flypaper,2011,1.0
Focus,2015,3.2142857142857144
Focus,2001,3.5
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",2003,3.6
"Fog, The",2005,3.5
Following,1998,3.1666666666666665
Foo Fighters: Back and Forth,2011,4.5
Food (Jídlo),1993,1.5
"Food, Inc.",2008,3.875
Fool's Gold,2008,3.5
Foolproof,2003,1.5
Fools Rush In,1997,2.9285714285714284
"Foot Fist Way, The",2006,3.5
Footloose,2011,3.375
Footnote (Hearat Shulayim),2011,4.0
For Love of the Game,1999,3.3
For Love or Money,1993,3.5
For Richer or Poorer,1997,3.5
For Roseanna (Roseanna's Grave),1997,4.0
For Your Consideration,2006,2.25
For a Lost Soldier (Voor een Verloren Soldaat),1992,3.5
For a Woman (Pour une femme),2013,3.0
For the Birds,2000,3.6
For the Boys,1991,2.625
For the Moment,1994,2.5
"Forbidden Kingdom, The",2008,3.1666666666666665
Force Majeure (Turist),2014,4.5
Force of Execution,2013,3.0
Forces of Nature,1999,2.0714285714285716
Foreign Land (Terra Estrangeira),1996,4.0
Forever Young,1992,3.0714285714285716
Forget Me Not,2009,3.25
Forget Paris,1995,2.8125
Forgetting Sarah Marshall,2008,2.888888888888889
Forgotten Silver,1996,4.0
"Forgotten, The",2004,2.7
Forklift Driver Klaus: The First Day on the Job,2001,5.0
Formula 51,2001,3.75
Forrest Gump,1994,2.75
Fort Bliss,2014,3.5
Fortress,1992,2.5
"Fountain, The",2006,3.1875
Four Brothers,2005,3.357142857142857
Four Christmases,2008,3.0
"Four Days in September (O Que É Isso, Companheiro?)",1997,5.0
"Four Feathers, The",2002,3.5
Four Lions,2010,3.5
Four Rooms,1995,3.1875
Four Weddings and a Funeral,1994,2.75
"Fourth Kind, The",2009,2.375
Foxcatcher,2014,3.25
Foxfire,1996,2.875
Fracture,2007,3.3
Fragile,2005,2.0
Fragments,2008,3.0
Frailty,2001,2.888888888888889
Frances Ha,2012,4.5
Frank,2014,4.25
Frankenstein's Army,2013,3.5
Frankenweenie,2012,3.25
Frankie and Alice,2010,2.75
Frankie and Johnny,1991,3.125
Franklyn,2008,3.5
Franz Kafka's a Country Doctor,2007,4.5
Freakonomics,2010,5.0
Freaky Friday,2003,2.75
Freddy Got Fingered,2001,2.7857142857142856
Freddy vs. Jason,2003,2.4166666666666665
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A)",1991,2.9285714285714284
Free Birds,2013,2.5
Free Enterprise,1998,3.625
Free Fall,2013,4.0
Free Willy,1993,2.5555555555555554
Free Willy 2: The Adventure Home,1995,2.4375
Free Willy 3: The Rescue,1997,1.5
Freedom Writers,2007,3.5
Freedomland,2006,1.75
Freejack,1992,2.5
Freeway,1996,3.6666666666666665
French Kiss,1995,2.75
French Twist (Gazon maudit),1995,3.0
Frequencies,2013,3.25
Frequency,2000,3.1875
Frequently Asked Questions About Time Travel,2009,4.0
Fresh,1994,4.0
Frida,2002,3.25
Friday,1995,3.1875
Friday Night (Vendredi Soir),2002,4.5
Friday Night Lights,2004,2.7857142857142856
Friday the 13th,2009,3.25
Fried Green Tomatoes,1991,3.0
Friends & Lovers,1999,2.6666666666666665
Friends with Benefits,2011,2.625
Friends with Money,2006,2.3333333333333335
Friendship!,2010,4.0
Fright Night,2011,2.75
Fright Night 2: New Blood,2013,3.0
"Frighteners, The",1996,3.1875
Frisk,1995,1.0
From Dusk Till Dawn,1996,3.0
From Dusk Till Dawn 3: The Hangman's Daughter,1999,2.5
From Hell,2001,2.888888888888889
From Justin to Kelly,2003,1.25
From Paris with Love,2010,2.2
From Prada to Nada,2011,3.0
From Up on Poppy Hill (Kokuriko-zaka kara),2011,4.0
Frontière(s),2007,2.0
Frost/Nixon,2008,3.6666666666666665
Frozen,2013,2.75
Frozen,2010,4.0
"Frozen Ground, The",2013,2.8
Frozen Land (Paha maa),2005,3.0
Frozen River,2008,3.5
Fruitvale Station,2013,3.25
Fubar,2002,4.25
"Fugitive, The",1993,2.888888888888889
Full Frontal,2002,2.25
"Full Monty, The",1997,3.5
Full Speed (À toute vitesse),1996,0.5
Full Tilt Boogie,1997,4.0
Full of It,2007,3.5
Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono),2005,3.75
Fullmetal Alchemist: The Sacred Star of Milos,2011,4.5
Fulltime Killer (Chuen jik sat sau),2001,3.75
Fun with Dick and Jane,2005,3.0
"Funeral, The",1996,3.5
Funny Bones,1995,3.25
Funny Games,1997,3.3333333333333335
Funny Games U.S.,2007,3.875
Funny Ha Ha,2002,0.5
Funny People,2009,3.6
Fur: An Imaginary Portrait of Diane Arbus,2006,5.0
Fury,2014,3.125
"Future, The",2011,3.0
G-Force,2009,2.0
G.I. Jane,1997,2.75
G.I. Joe: Retaliation,2013,2.5625
G.I. Joe: The Rise of Cobra,2009,2.5833333333333335
GLOW: The Story of the Gorgeous Ladies of Wrestling,2012,3.75
Gabbeh,1996,5.0
Gabriel,2007,3.0
Gainsbourg (Vie Héroïque),2010,3.5
Galaxy Quest,1999,2.9444444444444446
Game Change,2012,4.125
Game Over: Kasparov and the Machine,2003,3.5
"Game Plan, The",2007,4.166666666666667
"Game of Their Lives, The",2005,1.0
"Game, The",1997,2.888888888888889
Gamer,2009,2.642857142857143
Ganes,2007,3.5
Gang Related,1997,3.5
Gangs of New York,2002,2.75
Gangster No. 1,2000,3.8333333333333335
Gangster Squad,2013,2.9285714285714284
Gantz,2011,2.5
Garage Days,2002,3.0
Garden State,2004,2.9444444444444446
"Garden of Eden, The",2008,3.5
"Garden of Words, The (Koto no ha no niwa)",2013,4.25
Garfield's Fun Fest,2008,0.5
Garfield: A Tail of Two Kitties,2006,2.6666666666666665
Garfield: The Movie,2004,2.5
"Garçu, Le",1995,2.0
"Gas, Food, Lodging",1992,3.5
GasLand,2010,3.0
"Gate of Heavenly Peace, The",1995,4.0
Gattaca,1997,3.0
Gaudi Afternoon,2001,3.5
Geek Charming,2011,3.5
"General's Daughter, The",1999,3.0
"General, The",1998,3.5
Generation P,2011,3.75
Genghis Blues,1999,4.0
Gentlemen Broncos,2009,3.5
Geography Club,2013,4.0
George Carlin: It's Bad for Ya!,2008,4.166666666666667
George Carlin: Life Is Worth Losing,2005,3.5
George Harrison: Living in the Material World,2011,4.0
George Washington,2000,3.8333333333333335
George of the Jungle,1997,3.0
Georgia,1995,3.0
Georgia Rule,2007,3.25
Geri's Game,1997,3.75
"German Doctor, The (Wakolda)",2013,4.0
Germinal,1993,2.0
Geronimo: An American Legend,1993,3.5
Gerry,2002,4.0
Get Carter,2000,2.9285714285714284
Get Hard,2015,2.5
Get Him to the Greek,2010,2.625
Get Low,2009,4.0
Get Over It,2001,3.6666666666666665
Get Real,1998,3.0833333333333335
Get Rich or Die Tryin',2005,4.0
Get Shorty,1995,2.75
Get Smart,2008,3.125
Get on Up,2014,1.75
Get on the Bus,1996,3.0
Get the Gringo,2012,2.4285714285714284
"Getaway, The",1994,2.3333333333333335
Getting Away With Murder,1996,1.0
Getting Even with Dad,1994,2.1
Gettysburg,1993,3.6666666666666665
Ghajini,2008,3.25
Ghost Dog: The Way of the Samurai,1999,3.5
Ghost Rider,2007,2.5555555555555554
Ghost Rider: Spirit of Vengeance,2012,3.375
Ghost Ship,2002,2.8125
Ghost Town,2008,3.25
Ghost World,2001,2.9375
"Ghost Writer, The",2010,3.75
"Ghost and the Darkness, The",1996,3.0833333333333335
Ghost in the Shell (Kôkaku kidôtai),1995,3.0
Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu),2004,3.5
Ghost in the Shell Arise - Border 1: Ghost Pain,2013,3.75
